STA,DATE,YEAR,MONTH,MONTH#,NO3_NO2,ZscoreNO3_NO2,meanZ,CUSUM,mean NO3_NO2,wetdryave,,,
1,8/14/2012,2012,August,8,0.35,-0.498539239,,,,,,,
17,8/14/2012,2012,August,8,0.11,-0.63617701,,,,,,,
18,8/14/2012,2012,August,8,0.28,-0.538683589,-0.557799946,-3.458476179,0.246666667,,,,
1,9/12/2012,2012,September,9,2.55,0.763140333,,,,,,,
17,9/12/2012,2012,September,9,0.24,-0.561623217,,,,,,,
18,9/12/2012,2012,September,9,0.01,-0.693526082,-0.164002989,-3.622479168,0.933333333,,,,
1,10/18/2012,2012,October,10,1.35,0.074951476,,,,,,,
17,10/18/2012,2012,October,10,1.50,0.160975083,,,,,,,
18,10/18/2012,2012,October,10,1.12,-0.056951389,0.05965839,-3.562820778,1.323333333,,,,
1,11/13/2012,2012,November,11,2.27,0.602562933,,,,,,,
17,11/13/2012,2012,November,11,3.34,1.216197997,,,,,,,
18,11/13/2012,2012,November,11,3.82,1.49147354,1.10341149,-2.459409288,3.143333333,,,,
1,12/11/2012,2012,December,12,3.51,1.313691419,,,,,,,
17,12/11/2012,2012,December,12,3.75,1.45132919,,,,,,,
18,12/11/2012,2012,December,12,1.52,0.172444897,0.979155169,-1.480254119,2.926666667,,,,
1,1/14/2013,2013,January,1,1.47,0.143770362,,,,,,,
17,1/14/2013,2013,January,1,2.40,0.677116726,,,,,,,
18,1/14/2013,2013,January,1,0.92,-0.171649531,0.216412519,-1.2638416,1.596666667,,,,
1,2/13/2013,2013,February,2,0.67,-0.31502221,,,,,,,
17,2/13/2013,2013,February,2,3.46,1.285016883,,,,,,,
18,2/13/2013,2013,February,2,2.04,0.470660069,0.480218247,-0.783623353,2.056666667,,,,
1,3/11/2013,2013,March,3,0.39,-0.47559961,,,,,,,
17,3/11/2013,2013,March,3,0.11,-0.63617701,,,,,,,
18,3/11/2013,2013,March,3,0.12,-0.630442103,-0.580739574,-1.364362927,0.206666667,,,,
1,4/17/2013,2013,April,4,0.35,-0.498539239,,,,,,,
17,4/17/2013,2013,April,4,0.33,-0.510009053,,,,,,,
18,4/17/2013,2013,April,4,0.47,-0.429720353,-0.479422881,-1.843785809,0.383333333,,,,
1,5/14/2013,2013,May,5,0.65,-0.326492024,,,,,,,
17,5/14/2013,2013,May,5,0.28,-0.538683589,,,,,,,
18,5/14/2013,2013,May,5,0.26,-0.550153403,-0.471776339,-2.315562147,0.396666667,,,,
1,6/11/2013,2013,June,6,1.28,0.034807126,,,,,,,
17,6/11/2013,2013,June,6,0.66,-0.320757117,,,,,,,
18,6/11/2013,2013,June,6,0.53,-0.39531091,-0.227086967,-2.542649115,0.823333333,,,,
1,7/16/2013,2013,July,7,0.30,-0.527213774,,,,,,,
17,7/16/2013,2013,July,7,0.63,-0.337961839,,,,,,,
18,7/16/2013,2013,July,7,0.71,-0.292082581,-0.385752731,-2.928401846,0.546666667,,,,
1,8/13/2013,2013,August,8,0.62,-0.343696746,,,,,,,
17,8/13/2013,2013,August,8,0.27,-0.544418496,,,,,,,
18,8/13/2013,2013,August,8,0.71,-0.292082581,-0.393399274,-3.32180112,0.533333333,,,,
1,9/16/2013,2013,September,9,1.83,0.350227019,,,,,,,
17,9/16/2013,2013,September,9,1.31,0.052011847,,,,,,,
18,9/16/2013,2013,September,9,0.26,-0.550153403,-0.049304846,-3.371105966,1.133333333,,,,
1,10/22/2013,2013,October,10,2.69,0.843429033,,,,,,,
17,10/22/2013,2013,October,10,1.88,0.378901554,,,,,,,
18,10/22/2013,2013,October,10,1.93,0.40757609,0.543302226,-2.82780374,2.166666667,,,,
1,11/20/2013,2013,November,11,2.55,0.763140333,,,,,,,
17,11/20/2013,2013,November,11,2.42,0.68858654,,,,,,,
18,11/20/2013,2013,November,11,2.43,0.694321447,0.71534944,-2.1124543,2.466666667,,,,
1,12/16/2013,2013,December,12,4.57,1.921591576,,,,,,,
17,12/16/2013,2013,December,12,4.16,1.686460383,,,,,,,
18,12/16/2013,2013,December,12,0.72,-0.286347674,1.107234762,-1.005219538,3.15,,,,
1,1/15/2014,2014,January,1,0.52,-0.401045817,,,,,,,
17,1/15/2014,2014,January,1,0.22,-0.573093031,,,,,,,
18,1/15/2014,2014,January,1,0.15,-0.613237381,-0.52912541,-1.534344948,0.296666667,,,,
1,2/18/2014,2014,February,2,0.57,-0.372371281,,,,,,,
17,2/18/2014,2014,February,2,0.44,-0.446925074,,,,,,,
18,2/18/2014,2014,February,2,0.34,-0.504274146,-0.441190167,-1.975535116,0.45,,,,
1,3/21/2014,2014,March,3,0.26,-0.550153403,,,,,,,
17,3/21/2014,2014,March,3,0.21,-0.578827939,,,,,,,
18,3/21/2014,2014,March,3,0.09,-0.647646824,-0.592209389,-2.567744504,0.186666667,,,,
1,4/18/2014,2014,April,4,0.48 ,-0.423985446,,,,,,,
17,4/18/2014,2014,April,4,0.11 ,-0.63617701,,,,,,,
18,4/18/2014,2014,April,4,0.09 ,-0.647646824,-0.56926976,-3.137014264,0.226666667,,,,
1,5/13/2014,2014,May,5,0.63 ,-0.337961839,,,,,,,
17,5/13/2014,2014,May,5,0.12 ,-0.630442103,,,,,,,
18,5/13/2014,2014,May,5,0.13 ,-0.624707196,-0.531037046,-3.66805131,0.293333333,,,,
1,6/18/2014,2014,June,6,0.27 ,-0.544418496,,,,,,,
17,6/18/2014,2014,June,6,0.15 ,-0.613237381,,,,,,,
18,6/18/2014,2014,June,6,0.08 ,-0.653381731,-0.603679203,-4.271730513,0.166666667,,,,
1,7/14/2014,2014,July,7,1.36 ,0.080686383,,,,,,,
17,7/14/2014,2014,July,7,0.16 ,-0.607502474,,,,,,,
18,7/14/2014,2014,July,7,0.57 ,-0.372371281,-0.299729124,-4.571459637,0.696666667,,,,
1,8/13/2014,2014,August,8,1.02 ,-0.11430046,,,,,,,
17,8/13/2014,2014,August,8,0.24 ,-0.561623217,,,,,,,
18,8/13/2014,2014,August,8,0.22 ,-0.573093031,-0.416338903,-4.98779854,0.493333333,,,,
1,9/16/2014,2014,September,9,2.64 ,0.814754497,,,,,,,
17,9/16/2014,2014,September,9,2.31 ,0.625502562,,,,,,,
18,9/16/2014,2014,September,9,1.83 ,0.350227019,0.596828026,-4.390970514,2.26,,,,
1,10/17/2014,2014,October,10,0.74,-0.27487786,,,,,,,
17,10/17/2014,2014,October,10,1.98,0.436250626,,,,,,,
18,10/17/2014,2014,October,10,0.16,-0.607502474,-0.148709903,-4.539680417,0.96,,,,
1,11/10/2014,2014,November,11,3.21,1.141644205,,,,,,,
17,11/10/2014,2014,November,11,3.80,1.480003726,,,,,,,
18,11/10/2014,2014,November,11,3.96,1.57176224,1.39780339,-3.141877027,3.656666667,,,,
1,12/15/2014,2014,December,12,3.68,1.41118484,,,,,,,
17,12/15/2014,2014,December,12,3.56,1.342365955,,,,,,,
18,12/15/2014,2014,December,12,3.17,1.118704576,1.29075179,-1.851125236,3.47,,,,
1,1/15/2015,2015,January,1,1.66 ,0.252733597,,,,,,,
17,1/15/2015,2015,January,1,1.75 ,0.304347762,,,,,,,
18,1/15/2015,2015,January,1,0.74 ,-0.27487786,0.094067833,-1.757057404,1.383333333,,,,
1,2/15/2015,2015,February,2,,,,,,,,,
17,2/15/2015,2015,February,2,,,,,,,,,
18,2/15/2015,2015,February,2,,,,,,,,,
1,3/16/2015,2015,March,3,0.57 ,-0.372371281,,,,,,,
17,3/16/2015,2015,March,3,0.05 ,-0.670586453,,,,,,,
18,3/16/2015,2015,March,3,0.24 ,-0.561623217,-0.534860317,-2.291917721,0.286666667,,,,
1,4/24/2015,2015,April,4,0.27 ,-0.544418496,,,,,,,
17,4/24/2015,2015,April,4,0.21 ,-0.578827939,,,,,,,
18,4/24/2015,2015,April,4,0.34 ,-0.504274146,-0.54250686,-2.834424581,0.273333333,,,,
1,5/12/2015,2015,May,5,0.30 ,-0.527213774,,,,,,,
17,5/12/2015,2015,May,5,0.35 ,-0.498539239,,,,,,,
18,5/12/2015,2015,May,5,0.30 ,-0.527213774,-0.517655596,-3.352080177,0.316666667,,,,
1,6/15/2015,2015,June,6,0.23 ,-0.567358124,,,,,,,
17,6/15/2015,2015,June,6,0.06 ,-0.664851546,,,,,,,
18,6/15/2015,2015,June,6,0.08 ,-0.653381731,-0.628530467,-3.980610644,0.123333333,,,,
1,7/16/2015,2015,July,7,0.45 ,-0.441190167,,,,,,,
17,7/16/2015,2015,July,7,0.32 ,-0.51574396,,,,,,,
18,7/16/2015,2015,July,7,0.26 ,-0.550153403,-0.50236251,-4.482973154,0.343333333,,,,
1,8/13/2015,2015,August,8,1.54 ,0.183914712,,,,,,,
17,8/13/2015,2015,August,8,0.14 ,-0.618972289,,,,,,,
18,8/13/2015,2015,August,8,0.93 ,-0.165914624,-0.200324067,-4.683297221,0.87,,,,
1,9/14/2015,2015,September,9,1.12 ,-0.056951389,,,,,,,
17,9/14/2015,2015,September,9,0.33 ,-0.510009053,,,,,,,
18,9/14/2015,2015,September,9,1.61 ,0.224059062,-0.11430046,-4.797597681,1.02,,,,
1,10/14/2015,2015,October,10,4.05 ,1.623376405,,,,,,,
17,10/14/2015,2015,October,10,4.17 ,1.69219529,,,,,,,
18,10/14/2015,2015,October,10,4.54 ,1.904386855,1.739986183,-3.057611498,4.253333333,,,,
1,11/18/2015,2015,November,11,2.47 ,0.717261076,,,,,,,
17,11/18/2015,2015,November,11,2.86 ,0.940922454,,,,,,,
18,11/18/2015,2015,November,11,2.51 ,0.740200704,0.799461412,-2.258150086,2.613333333,,,,
1,12/14/2015,2015,December,12,2.44 ,0.700056354,,,,,,,
17,12/14/2015,2015,December,12,2.98 ,1.00974134,,,,,,,
18,12/14/2015,2015,December,12,3.00 ,1.021211155,0.910336283,-1.347813803,2.806666667,,,,
1,1/14/2016,2016,January,1,0.29 ,-0.532948681,,,,,,,
17,1/14/2016,2016,January,1,0.45 ,-0.441190167,,,,,,,
18,1/14/2016,2016,January,1,0.26 ,-0.550153403,-0.508097417,-1.85591122,0.333333333,,,,
1,2/18/2016,2016,February,2,0.67 ,-0.31502221,,,,,,,
17,2/18/2016,2016,February,2,0.53 ,-0.39531091,,,,,,,
18,2/18/2016,2016,February,2,0.55 ,-0.383841096,-0.364724739,-2.220635959,0.583333333,,,,
1,3/15/2016,2016,March,3,0.96 ,-0.148709903,,,,,,,
17,3/15/2016,2016,March,3,0.77 ,-0.257673139,,,,,,,
18,3/15/2016,2016,March,3,0.69 ,-0.303552396,-0.236645146,-2.457281104,0.806666667,,,,
1,4/14/2016,2016,April,4,0.30 ,-0.527213774,,,,,,,
17,4/14/2016,2016,April,4,0.16 ,-0.607502474,,,,,,,
18,4/14/2016,2016,April,4,0.06 ,-0.664851546,-0.599855931,-3.057137036,0.173333333,,,,
1,5/17/2016,2016,May,5,0.20 ,-0.584562846,,,,,,,
17,5/17/2016,2016,May,5,0.08 ,-0.653381731,,,,,,,
18,5/17/2016,2016,May,5,0.09 ,-0.647646824,-0.628530467,-3.685667503,0.123333333,,,,
1,6/21/2016,2016,June,6,0.31 ,-0.521478867,,,,,,,
17,6/21/2016,2016,June,6,0.06 ,-0.664851546,,,,,,,
18,6/21/2016,2016,June,6,0.06 ,-0.664851546,-0.617060653,-4.302728156,0.143333333,,,,
1,7/20/2016,2016,July,7,0.35 ,-0.498539239,,,,,,,
17,7/20/2016,2016,July,7,0.14 ,-0.618972289,,,,,,,
18,7/20/2016,2016,July,7,0.07 ,-0.659116639,-0.592209389,-4.894937545,0.186666667,,,,
1,8/16/2016,2016,August,8,0.46 ,-0.43545526,,,,,,,
17,8/16/2016,2016,August,8,0.07 ,-0.659116639,,,,,,,
18,8/16/2016,2016,August,8,0.14 ,-0.618972289,-0.571181396,-5.46611894,0.223333333,,,,
1,9/12/2016,2016,September,9,1.58 ,0.20685434,,,,,,,
17,9/12/2016,2016,September,9,1.40 ,0.103626011,,,,,,,
18,9/12/2016,2016,September,9,1.33 ,0.063481661,0.124654004,-5.341464936,1.436666667,,,,
1,10/13/2016,2016,October,10,7.60 ,3.659268441,,,,,,,
17,10/13/2016,2016,October,10,6.88 ,3.246355126,,,,,,,
18,10/13/2016,2016,October,10,6.34 ,2.936670141,3.280764569,-2.060700367,6.94,,,,
1,11/14/2016,2016,November,11,2.56 ,0.76887524,,,,,,,
17,11/14/2016,2016,November,11,3.40 ,1.25060744,,,,,,,
18,11/14/2016,2016,November,11,3.32 ,1.204728183,1.074736955,-0.985963412,3.093333333,,,,
1,12/14/16,2016,December,12,1.08 ,-0.079891017,,,,,,,
17,12/14/16,2016,December,12,0.86 ,-0.206058974,,,,,,,
18,12/14/16,2016,December,12,0.70 ,-0.297817489,-0.19458916,-1.180552572,0.88,,,,
1,1/15/2017,2017,January,1,0.21,-0.578827939,,,,,,,
17,1/15/2017,2017,January,1,0.37,-0.487069424,,,,,,,
18,1/15/2017,2017,January,1,0.18,-0.59603266,-0.553976674,-1.734529247,0.253333333,,,,
1,2/18/2017,2017,February,2,0.59,-0.360901467,,,,,,,
17,2/18/2017,2017,February,2,0.45,-0.441190167,,,,,,,
18,2/18/2017,2017,February,2,0.47,-0.429720353,-0.410603996,-2.145133242,0.503333333,,,,
1,3/23/2017,2017,March,3,0.5,-0.412515631,,,,,,,
17,3/23/2017,2017,March,3,1.26,0.023337311,,,,,,,
18,3/23/2017,2017,March,3,0.76,-0.263408046,-0.217528789,-2.362662031,0.84,,,,
1,,2017,April,4,,,,,,,,,
17,,2017,April,4,,,,,,,,,
18,,2017,April,4,,,,,,,,,
1,5/31/2017,2017,May,5,0.66,-0.320757117,,,,,,,
17,5/31/2017,2017,May,5,0.35,-0.498539239,,,,,,,
18,5/31/2017,2017,May,5,0.28,-0.538683589,-0.452659981,-2.815322012,0.43,,,,
1,6/29/2017,2017,June,6,0.32,-0.51574396,,,,,,,
17,6/29/2017,2017,June,6,0.28,-0.538683589,,,,,,,
18,6/29/2017,2017,June,6,0.28,-0.538683589,-0.531037046,-3.346359058,0.293333333,,,,
1,7/18/2017,2017,July,7,0.31,-0.521478867,,,,,,,
17,7/18/2017,2017,July,7,0.14,-0.618972289,,,,,,,
18,7/18/2017,2017,July,7,0.17,-0.601767567,-0.580739574,-3.927098633,0.206666667,,,,
1,,2017,August,8,,,,,,,,,
17,,2017,August,8,,,,,,,,,
18,,2017,August,8,,,,,,,,,
1,10/2/2017,2017,September,9,4.17,1.69219529,,,,,,,
17,10/2/2017,2017,September,9,3.81,1.485738633,,,,,,,
18,10/2/2017,2017,September,9,4.73,2.01335009,1.730428005,-2.196670628,4.236666667,,,,
1,,2017,October,10,,,,,,,,,
17,,2017,October,10,,,,,,,,,
18,,2017,October,10,,,,,,,,,
1,11/14/2017,2017,November,11,6.3,2.913730512,,,,,,,
17,11/14/2017,2017,November,11,6.67,3.125922076,,,,,,,
18,11/14/2017,2017,November,11,4.07,1.634846219,2.558166269,0.361495641,5.68,,,,
1,12/20/2017,2017,December,12,1.96,0.424780812,,,,,,,
17,12/20/2017,2017,December,12,3.01,1.026946062,,,,,,,
18,12/20/2017,2017,December,12,3.01,1.026946062,0.826224312,1.187719953,2.66,,,,
1,1/26/2018,2018,January,1,0.35,-0.498539239,,,,,,,
17,1/26/2018,2018,January,1,0.63,-0.337961839,,,,,,,
18,1/26/2018,2018,January,1,0.29,-0.532948681,-0.456483253,0.7312367,0.423333333,,,,
1,2/21/2018,2018,February,2,0.33,-0.510009053,,,,,,,
17,2/21/2018,2018,February,2,0.73,-0.280612767,,,,,,,
18,2/21/2018,2018,February,2,0.39,-0.47559961,-0.42207381,0.30916289,0.483333333,,,,
1,3/27/2018,2018,March,3,0.29,-0.532948681,,,,,,,
17,3/27/2018,2018,March,3,0.28,-0.538683589,,,,,,,
18,3/27/2018,2018,March,3,0.28,-0.538683589,-0.536771953,-0.227609063,0.283333333,,,,
1,4/26/2018,2018,April,4,0.48,-0.423985446,,,,,,,
17,4/26/2018,2018,April,4,0.42,-0.458394889,,,,,,,
18,4/26/2018,2018,April,4,0.38,-0.481334517,-0.454571617,-0.68218068,0.426666667,,,,
1,5/22/2018,2018,May,5,1.98,0.436250626,,,,,,,
17,5/22/2018,2018,May,5,1.21,-0.005337224,,,,,,,
18,5/22/2018,2018,May,5,0.23,-0.567358124,-0.045481574,-0.727662254,1.14,,,,
1,6/21/2018,2018,June,6,0.19,-0.590297753,,,,,,,
17,6/21/2018,2018,June,6,0.18,-0.59603266,,,,,,,
18,6/21/2018,2018,June,6,0.22,-0.573093031,-0.586474481,-1.314136736,0.196666667,,,,
1,8/2/2018,2018,July,7,0.23,-0.567358124,,,,,,,
17,8/2/2018,2018,July,7,0.2,-0.584562846,,,,,,,
18,8/2/2018,2018,July,7,0.41,-0.464129796,-0.538683589,-1.852820325,0.28,,,,
1,8/28/2018,2018,August,8,0.29,-0.532948681,,,,,,,
17,8/28/2018,2018,August,8,0.2,-0.584562846,,,,,,,
18,8/28/2018,2018,August,8,0.14,-0.618972289,-0.578827939,-2.431648263,0.21,,,,
1,9/19/2018,2018,September,9,2.59,0.786079962,,,,,,,
17,9/19/2018,2018,September,9,3.18,1.124439483,,,,,,,
18,9/19/2018,2018,September,9,0.22,-0.573093031,0.445808804,-1.985839459,1.996666667,,,,
1,10/23/2018,2018,October,10,1.62,0.229793969,,,,,,,
17,10/23/2018,2018,October,10,1.38,0.092156197,,,,,,,
18,10/23/2018,2018,October,10,2.44,0.700056354,0.34066884,-1.645170619,1.813333333,,,,
1,11/14/2018,2018,November,11,2.53,0.751670519,,,,,,,
17,11/14/2018,2018,November,11,3.37,1.233402719,,,,,,,
18,11/14/2018,2018,November,11,3.29,1.187523462,1.057532233,-0.587638386,3.063333333,,,,
1,12/4/2018,2018,December,12,3.29,1.187523462,,,,,,,
17,12/4/2018,2018,December,12,6.05,2.770357833,,,,,,,
18,12/4/2018,2018,December,12,6.82,3.211945683,2.389942326,1.802303941,5.386666667,,,,
1,,2019,January,1,,,,,,,,,
17,,2019,January,1,,,,,,,,,
18,,2019,January,1,,,,,,,,,
1,,2019,February,2,,,,,,,,,
17,,2019,February,2,,,,,,,,,
18,,2019,February,2,,,,,,,,,
1,4/4/2019,2019,March,3,0.53,-0.39531091,,,,,,,
17,4/4/2019,2019,March,3,0.18,-0.59603266,,,,,,,
18,4/4/2019,2019,March,3,0.21,-0.578827939,-0.523390503,1.278913438,0.306666667,,,,
1,4/30/2019,2019,April,4,1.40 ,0.103626011,,,,,,,
17,4/30/2019,2019,April,4,1.71 ,0.281408133,,,,,,,
18,4/30/2019,2019,April,4,0.35 ,-0.498539239,-0.037835031,1.241078406,1.153333333,,,,
1,5/17/2019,2019,May,5,0.83 ,-0.223263696,,,,,,,
17,5/17/2019,2019,May,5,0.73 ,-0.280612767,,,,,,,
18,5/17/2019,2019,May,5,0.20 ,-0.584562846,-0.362813103,0.878265303,0.586666667,,,,
1,6/25/2019,2019,June,6,0.11 ,-0.63617701,,,,,,,
17,6/25/2019,2019,June,6,0.37 ,-0.487069424,,,,,,,
18,6/25/2019,2019,June,6,0.17 ,-0.601767567,-0.575004667,0.303260636,0.216666667,,,,
1,7/25/2019,2019,July,7,0.17 ,-0.601767567,,,,,,,
17,7/25/2019,2019,July,7,0.28 ,-0.538683589,,,,,,,
18,7/25/2019,2019,July,7,0.15 ,-0.613237381,-0.584562846,-0.28130221,0.2,,,,
1,,2019,August,8,,,,,,,,,
17,,2019,August,8,,,,,,,,,
18,,2019,August,8,,,,,,,,,
1,9/25/2019,2019,September,9,1.04 ,-0.102830646,,,,,,,
17,9/25/2019,2019,September,9,0.23 ,-0.567358124,,,,,,,
18,9/25/2019,2019,September,9,0.78 ,-0.251938231,-0.307375667,-0.588677877,0.683333333,,,,
1,10/29/2019,2019,October,10,2.88 ,0.952392269,,,,,,,
17,10/29/2019,2019,October,10,3.35 ,1.221932905,,,,,,,
18,10/29/2019,2019,October,10,2.51 ,0.740200704,0.971508626,0.382830749,2.913333333,,,,
1,,2019,November,11,,,,,,,,,
17,,2019,November,11,,,,,,,,,
18,,2019,November,11,,,,,,,,,
1,12/29/2019,2019,December,12,1.33 ,0.063481661,,,,,,,
17,12/29/2019,2019,December,12,1.45 ,0.132300547,,,,,,,
18,12/29/2019,2019,December,12,1.55 ,0.189649619,0.128477276,0.511308025,1.443333333,,,,
1,,2020,January,1,,,,,,,,,
17,,2020,January,1,,,,,,,,,
18,,2020,January,1,,,,,,,,,
1,,2020,February,2,,,,,,,,,
17,,2020,February,2,,,,,,,,,
18,,2020,February,2,,,,,,,,,
1,,2020,March,3,,,,,,,,,
17,,2020,March,3,,,,,,,,,
18,,2020,March,3,,,,,,,,,
1,,2020,April,4,,,,,,,,,
17,,2020,April,4,,,,,,,,,
18,,2020,April,4,,,,,,,,,
1,,2020,May,5,,,,,,,,,
17,,2020,May,5,,,,,,,,,
18,,2020,May,5,,,,,,,,,
1,6/24/20,2020,June,6,0.24 ,-0.561623217,,,,,,,
17,6/24/20,2020,June,6,0.14 ,-0.618972289,,,,,,,
18,6/24/20,2020,June,6,0.28 ,-0.538683589,-0.573093031,-0.061785006,0.22,,,,
1,7/29/22,2020,July,7,0.81 ,-0.23473351,,,,,,,
17,7/29/22,2020,July,7,0.76 ,-0.263408046,,,,,,,
18,7/29/22,2020,July,7,1.30 ,0.04627694,-0.150621539,-0.212406545,0.956666667,,,,
1,8/27/20,2020,August,8,0.59 ,-0.360901467,,,,,,,
17,8/27/20,2020,August,8,0.32 ,-0.51574396,,,,,,,
18,8/27/20,2020,August,8,0.19 ,-0.590297753,-0.48898106,-0.701387605,0.366666667,,,,
1,9/23/20,2020,September,9,2.42 ,0.68858654,,,,,,,
17,9/23/20,2020,September,9,1.39 ,0.097891104,,,,,,,
18,9/23/20,2020,September,9,1.79 ,0.32728739,0.371255012,-0.330132593,1.866666667,,,,
1,10/21/20,2020,October,10,2.28 ,0.60829784,,,,,,,
17,10/21/20,2020,October,10,1.40 ,0.103626011,,,,,,,
18,10/21/20,2020,October,10,0.19 ,-0.590297753,0.040542033,-0.289590561,1.29,,,,
1,11/20/20,2020,November,11,0.39 ,-0.47559961,,,,,,,
17,11/20/20,2020,November,11,0.58 ,-0.366636374,,,,,,,
18,11/20/20,2020,November,11,0.30 ,-0.527213774,-0.456483253,-0.746073813,0.423333333,,,,
1,,2020,December,12,,,,,,,,,
17,,2020,December,12,,,,,,,,,
18,,2020,December,12,,,,,,,,,
1,,2020,January,1,,,,,,,,,
17,,2020,January,1,,,,,,,,,
18,,2020,January,1,,,,,,,,,
1,2/4/2021,2021,February,2,4.17,1.69219529,,,,,,,
17,2/4/2021,2021,February,2,2.29,0.614032747,,,,,,,
18,2/4/2021,2021,February,2,1.96,0.424780812,0.910336283,0.16426247,2.806666667,,,,
1,3/26/2021,2021,March,3,0.83,-0.223263696,,,,,,,
17,3/26/2021,2021,March,3,0.60,-0.35516656,,,,,,,
18,3/26/2021,2021,March,3,0.95,-0.15444481,-0.244291689,-0.080029219,0.793333333,,,,
1,4/28/2021,2021,April,4,0.20,-0.584562846,,,,,,,
17,4/28/2021,2021,April,4,0.17,-0.601767567,,,,,,,
18,4/28/2021,2021,April,4,0.55,-0.383841096,-0.523390503,-0.603419722,0.306666667,,,,
1,5/19/2021,2021,May,5,0.41,-0.464129796,,,,,,,
17,5/19/2021,2021,May,5,0.65,-0.326492024,,,,,,,
18,5/19/2021,2021,May,5,0.70,-0.297817489,-0.362813103,-0.966232825,0.586666667,,,,
1,6/30/2021,2021,June,6,0.37,-0.487069424,,,,,,,
17,6/30/2021,2021,June,6,1.75,0.304347762,,,,,,,
18,6/30/2021,2021,June,6,0.15,-0.613237381,-0.265319681,-1.231552506,0.756666667,,,,
1,7/28/2021,2021,July,7,1.00,-0.125770274,,,,,,,
17,7/28/2021,2021,July,7,0.11,-0.637897482,,,,,,,
18,7/28/2021,2021,July,7,0.50,-0.412515631,-0.392061129,-1.623613635,0.535666667,,,,
1,8/25/2021,2021,August,8,1.77,0.315817576,,,,,,,
17,8/25/2021,2021,August,8,0.41,-0.464129796,,,,,,,
18,8/25/2021,2021,August,8,1.94,0.413310997,0.088332926,-1.53528071,1.373333333,,,,
1,9/29/2021,2021,September,9,1.32,0.057746754,,,,,,,
17,9/29/2021,2021,September,9,1.03,-0.108565553,,,,,,,
18,9/29/2021,2021,September,9,0.47,-0.429720353,-0.160179717,-1.695460427,0.94,,,,
1,10/27/2021,2021,October,10,1.20,-0.011072131,,,,,,,
17,10/27/2021,2021,October,10,1.01,-0.120035367,,,,,,,
18,10/27/2021,2021,October,10,2.04,0.470660069,0.11318419,-1.582276237,1.416666667,,,,
1,11/16/2021,2021,November,11,1.59,0.212589247,,,,,,,
17,11/16/2021,2021,November,11,2.36,0.654177097,,,,,,,
18,11/16/2021,2021,November,11,1.14,-0.045481574,0.27376159,-1.308514647,1.696666667,,,,
1,12/15/2021,2021,December,12,4.57,1.921591576,,,,1.22,,,
17,12/15/2021,2021,December,12,4.16,1.686460383,,,,1.74,,,
18,12/15/2021,2021,December,12,0.72,-0.286347674,1.107234762,-0.201279885,3.15,,,,
