STA,DATE,YEAR,MONTH,MONTH#,CHL_A,Zscore CHL,meanZ,CUSUM,mean CHL,3 month running ave,12 month ave,,,
16,7/17/2012,2012,July,7,6.573,0.134348016,0.457431835,20.85047478,8.17,7.79,,,,
2,8/14/2012,2012,August,8,14.991,1.833111032,,,,,,,,
16,8/14/2012,2012,August,8,10.858,0.99906642,1.416088726,22.2665635,12.92,10.71,,,,
2,9/12/2012,2012,September,9,16.704,2.178796592,,,,,,,,
16,9/12/2012,2012,September,9,8.177,0.458037238,1.318416915,23.58498042,12.44,11.18,,,,
2,10/18/2012,2012,October,10,2.794,-0.62825895,,,,,,,,
16,10/18/2012,2012,October,10,2.133,-0.761649584,-0.694954267,22.89002615,2.46,9.28,,,,
2,11/13/2012,2012,November,11,2.495,-0.688597527,,,,,,,,
16,11/13/2012,2012,November,11,2.496,-0.688395726,-0.688496627,22.20152952,2.50,5.80,,,,
2,12/11/2012,2012,December,12,1.611,-0.866989842,,,,,,,,
16,12/11/2012,2012,December,12,0.924,-1.005627309,-0.936308575,21.26522095,1.27,2.08,5.33,,,
2,1/14/2013,2013,January,1,2.032,-0.782031511,,,,,,,,
16,1/14/2013,2013,January,1,2.745,-0.638147212,-0.710089362,20.55513159,2.39,2.05,,,,
2,2/13/2013,2013,February,2,7.997,0.421713011,,,,,,,,
16,2/13/2013,2013,February,2,8.891,0.602123339,0.511918175,21.06704976,8.44,4.03,,,,
2,3/11/2013,2013,March,3,5.782,-0.025276782,,,,,,,,
16,3/11/2013,2013,March,3,6.273,0.073807637,0.024265428,21.09131519,6.03,5.62,,,,
2,4/17/2013,2013,April,4,0.469,-1.097446882,,,,,,,,
16,4/15/2013,2013,April,4,0.188,-1.154153037,-1.12579996,19.96551523,0.33,4.93,,,,
2,5/14/2013,2013,May,5,1.156,-0.958809416,,,,,,,,
16,5/14/2013,2013,May,5,0.725,-1.04578576,-1.002297588,18.96321764,0.94,2.43,,,,
2,6/11/2013,2013,June,6,4.103,-0.364101099,,,,,,,,
16,6/12/2013,2013,June,6,3.208,-0.544713228,-0.454407164,18.50881048,3.66,1.64,,,,
2,7/16/2013,2013,July,7,7.593,0.340185302,,,,,,,,
16,7/16/2013,2013,July,7,10.650,0.957091757,0.64863853,19.15744901,9.12,4.57,,,,
2,8/13/2013,2013,August,8,6.907,0.201749637,,,,,,,,
16,8/13/2013,2013,August,8,5.871,-0.00731647,0.097216584,19.25466559,6.39,6.39,,,,
2,9/16/2013,2013,September,9,4.572,-0.269456308,,,,,,,,
16,9/16/2013,2013,September,9,3.329,-0.520295276,-0.394875792,18.8597898,3.95,6.49,,,,
2,10/22/2013,2013,October,10,1.844,-0.819970148,,,,,,,,
16,10/22/2013,2013,October,10,1.950,-0.798579215,-0.809274681,18.05051512,1.90,4.08,,,,
2,11/19/2013,2013,November,11,0.546,-1.081908185,,,,,,,,
16,11/19/2013,2013,November,11,0.907,-1.00905793,-1.045483058,17.00503206,0.73,2.19,,,,
2,12/16/2013,2013,December,12,2.308,-0.726334363,,,,,,,,
16,12/16/2013,2013,December,12,2.047,-0.779004492,-0.752669428,16.25236263,2.18,1.60,3.84,,,
2,1/15/2014,2014,January,1,2.342,-0.71947312,,,,,,,,
16,1/15/2014,2014,January,1,2.721,-0.642990442,-0.681231781,15.57113085,2.53,1.81,,,,
2,2/18/2014,2014,February,2,4.169,-0.350782216,,,,,,,,
16,2/20/2014,2014,February,2,4.273,-0.329794885,-0.340288551,15.2308423,4.22,2.98,,,,
2,3/21/2014,2014,March,3,1.408,-0.907955498,,,,,,,,
16,3/21/2014,2014,March,3,1.734,-0.842168287,-0.875061893,14.35578041,1.57,2.77,,,,
2,4/18/2014,2014,April,4,5.267,-0.129204431,,,,,,,,
16,4/18/2014,2014,April,4,2.042,-0.780013499,-0.454608965,13.90117144,3.65,3.15,,,,
2,5/13/2014,2014,May,5,2.570,-0.673462433,,,,,,,,
16,5/13/2014,2014,May,5,1.565,-0.8762727,-0.774867566,13.12630388,2.07,2.43,,,,
2,6/18/2014,2014,June,6,6.963,0.213050507,,,,,,,,
16,6/18/2014,2014,June,6,7.840,0.390030213,0.30154036,13.42784424,7.40,4.37,,,,
2,7/14/2014,2014,July,7,5.837,-0.014177713,,,,,,,,
16,7/14/2014,2014,July,7,7.799,0.381756362,0.183789325,13.61163356,6.82,5.43,,,,
2,8/13/2014,2014,August,8,4.802,-0.223042018,,,,,,,,
16,8/11/2014,2014,August,8,11.370,1.102388665,0.439673324,14.05130689,8.09,7.44,,,,
2,9/16/2014,2014,September,9,5.647,-0.052519952,,,,,,,,
16,9/16/2014,2014,September,9,3.808,-0.423632471,-0.238076212,13.81323067,4.73,6.54,,,,
2,10/17/2014,2014,October,10,1.911,-0.806449464,,,,,,,,
16,10/17/2014,2014,October,10,1.192,-0.951544571,-0.878997017,12.93423366,1.55,4.79,,,,
2,11/10/2014,2014,November,11,0.739,-1.042960542,,,,,,,,
16,11/10/2014,2014,November,11,0.966,-0.997151656,-1.020056099,11.91417756,0.85,2.38,,,,
2,12/15/2014,2014,December,12,1.924,-0.803826047,,,,,,,,
16,12/15/2014,2014,December,12,2.330,-0.721894735,-0.762860391,11.15131717,2.13,1.51,3.80,,,
2,1/15/2015,2015,January,1,7.033,0.227176596,,,,,,,,
16,1/15/2015,2015,January,1,6.181,0.055241921,0.141209259,11.29252643,6.61,3.20,,,,
2,2/15/2015,2015,February,2,,,,,,,,,,
16,2/15/2015,2015,February,2,,,,,,4.37,,,,
2,3/16/2015,2015,March,3,10.528,0.932472003,,,,,,,,
16,3/16/2015,2015,March,3,10.226,0.871528023,0.902000013,12.19452644,10.38,8.49,,,,
2,4/24/2015,2015,April,4,0.988,-0.992712028,,,,,,,,
16,4/27/2015,2015,April,4,1.233,-0.943270719,-0.967991373,11.22653506,1.11,5.74,,,,
2,5/12/2015,2015,May,5,6.371,0.093584161,,,,,,,,
16,5/12/2015,2015,May,5,8.893,0.602526941,0.348055551,11.57459062,7.63,6.37,,,,
2,6/15/2015,2015,June,6,13.633,1.559064919,,,,,,,,
16,6/15/2015,2015,June,6,9.257,0.675982601,1.11752376,12.69211438,11.45,6.73,,,,
2,7/16/2015,2015,July,7,8.442,0.511514573,,,,,,,,
16,7/16/2015,2015,July,7,8.016,0.425547235,0.468530904,13.16064528,8.23,9.10,,,,
2,8/12/2015,2015,August,8,7.817,0.385388784,,,,,,,,
16,8/12/2015,2015,August,8,11.515,1.131649848,0.758519316,13.9191646,9.67,9.78,,,,
2,9/14/2015,2015,September,9,5.439,-0.094494615,,,,,,,,
16,9/14/2015,2015,September,9,4.944,-0.194386239,-0.144440427,13.77472417,5.19,7.70,,,,
2,10/14/2015,2015,October,10,2.509,-0.68577231,,,,,,,,
16,10/14/2015,2015,October,10,2.727,-0.641779635,-0.663775972,13.1109482,2.62,5.83,,,,
2,11/18/2015,2015,November,11,1.465,-0.896452826,,,,,,,,
16,11/18/2015,2015,November,11,0.857,-1.019147993,-0.95780041,12.15314779,1.16,2.99,,,,
2,12/14/2015,2015,December,12,1.098,-0.970513889,,,,,,,,
16,12/14/2015,2015,December,12,1.488,-0.891811397,-0.931162643,11.22198514,1.29,1.69,6.00,,,
2,1/14/2016,2016,January,1,3.518,-0.482154837,,,,,,,,
16,1/14/2016,2016,January,1,4.869,-0.209521333,-0.345838085,10.87614706,4.19,2.22,,,,
2,2/18/2016,2016,February,2,3.666,-0.45228825,,,,,,,,
16,2/18/2016,2016,February,2,3.816,-0.422018061,-0.437153156,10.4389939,3.74,3.08,,,,
2,3/15/2016,2016,March,3,5.229,-0.136872879,,,,,,,,
16,3/15/2016,2016,March,3,1.456,-0.898269038,-0.517570958,9.921422945,3.34,3.76,,,,
2,4/14/2016,2016,April,4,2.370,-0.713822685,,,,,,,,
16,4/14/2016,2016,April,4,2.391,-0.709584858,-0.711703772,9.209719173,2.38,3.15,,,,
2,5/17/2016,2016,May,5,7.392,0.299623249,,,,,,,,
16,5/17/2016,2016,May,5,8.535,0.53028209,0.414952669,9.624671843,7.96,4.56,,,,
2,6/21/2016,2016,June,6,15.529,1.94168011,,,,,,,,
16,6/21/2016,2016,June,6,14.457,1.725349158,1.833514634,11.45818648,14.99,8.45,,,,
2,7/19/2016,2016,July,7,13.767,1.586106288,,,,,,,,
16,7/20/2016,2016,July,7,10.378,0.902201814,1.244154051,12.70234053,12.07,11.68,,,,
2,8/16/2016,2016,August,8,9.406,0.706050988,,,,,,,,
16,8/15/2016,2016,August,8,11.232,1.074540091,0.89029554,13.59263607,10.32,12.46,,,,
2,9/12/2016,2016,September,9,8.626,0.548646005,,,,,,,,
16,9/12/2016,2016,September,9,11.245,1.077163508,0.812904756,14.40554082,9.94,10.78,,,,
2,10/13/2016,2016,October,10,1.513,-0.886766366,,,,,,,,
16,10/13/2016,2016,October,10,2.811,-0.624828329,-0.755797347,13.64974348,2.16,7.47,,,,
2,11/14/2016,2016,November,11,0.708,-1.049216381,,,,,,,,
16,11/14/2016,2016,November,11,0.953,-0.999775072,-1.024495726,12.62524775,0.83,4.31,,,,
2,12/14/16,2016,December,12,2.563,-0.674875042,,,,,,,,
16,12/14/16,2016,December,12,2.011,-0.786269338,-0.73057219,11.89467556,2.29,1.76,6.14,,,
2,1/15/2017,2017,January,1,2.88,-0.611307644,,,,,,,,
16,1/15/2017,2017,January,1,4.23,-0.33867414,-0.474990892,11.41968467,3.55,2.22,,,,
2,2/18/2017,2017,February,2,3.03,-0.581441058,,,,,,,,
16,2/18/2017,2017,February,2,3.18,-0.551170868,-0.566305963,10.85337871,3.10,2.98,,,,
2,3/23/2017,2017,March,3,4.529,-0.278133762,,,,,,,,
16,3/23/2017,2017,March,3,1.522,-0.884950154,-0.581541958,10.27183675,3.03,3.23,,,,
2,,2017,April,4,,,,,,,,,,
16,,2017,April,4,,,,,,3.06,,,,
2,5/31/2017,2017,May,5,6.685,0.156949757,,,,,,,,
16,5/31/2017,2017,May,5,13.681,1.56875138,0.862850568,11.13468732,10.18,6.60,,,,
2,6/29/2017,2017,June,6,8.025,0.427363447,,,,,,,,
16,6/29/2017,2017,June,6,7.33,0.28711157,0.357237509,11.49192482,7.68,8.93,,,,
2,7/18/2017,2017,July,7,13.879,1.60870803,,,,,,,,
16,7/18/2017,2017,July,7,9.434,0.711701424,1.160204727,12.65212955,11.66,9.84,,,,
2,,2017,August,8,,,,,,,,,,
16,,2017,August,8,,,,,,9.67,,,,
2,10/2/2017,2017,September,9,1.897,-0.809274681,,,,,,,,
16,10/2/2017,2017,September,9,2.061,-0.776179275,-0.792726978,11.85940257,1.98,6.82,,,,
2,,2017,October,10,,,,,,,,,,
16,,2017,October,10,,,,,,1.98,,,,
2,11/14/2017,2017,November,11,1.027,-0.984841779,,,,,,,,
16,11/14/2017,2017,November,11,0.299,-1.131753097,-1.058297438,10.80110514,0.66,1.32,,,,
2,12/20/2017,2017,December,12,2.306,-0.726737966,,,,,,,,
16,12/20/2017,2017,December,12,2.394,-0.708979455,-0.71785871,10.08324643,2.35,1.51,4.85,,,
2,1/26/2018,2018,January,1,2.262,-0.735617221,,,,,,,,
16,1/26/2018,2018,January,1,2.872,-0.612518452,-0.674067836,9.409178589,2.57,1.86,,,,
2,2/21/2018,2018,February,2,2.526,-0.682341688,,,,,,,,
16,2/21/2018,2018,February,2,1.977,-0.793130581,-0.737736134,8.671442454,2.25,2.39,,,,
2,3/27/2018,2018,March,3,6.843,0.188834356,,,,,,,,
16,3/27/2018,2018,March,3,4.484,-0.287214819,-0.049190231,8.622252223,5.66,3.49,,,,
2,4/26/2018,2018,April,4,4.340,-0.3162742,,,,,,,,
16,4/26/2018,2018,April,4,4.751,-0.233333882,-0.274804041,8.347448181,4.55,4.15,,,,
2,5/22/2018,2018,May,5,14.690,1.772368852,,,,,,,,
16,5/22/2018,2018,May,5,19.470,2.736978881,2.254673866,10.60212205,17.08,9.10,,,,
2,6/21/2018,2018,June,6,8.505,0.524228052,,,,,,,,
16,6/21/2018,2018,June,6,7.370,0.295183621,0.409705836,11.01182788,7.94,9.85,,,,
2,8/1/2018,2018,July,7,25.248,3.902986567,,,,,,,,
16,8/1/2018,2018,July,7,21.136,3.073179782,3.488083174,14.49991106,23.19,16.07,,,,
2,8/28/2018,2018,August,8,7.783,0.378527542,,,,,,,,
16,8/28/2018,2018,August,8,6.617,0.143227271,0.260877406,14.76078847,7.20,12.78,,,,
2,9/19/2018,2018,September,9,10.451,0.916933306,,,,,,,,
16,9/19/2018,2018,September,9,12.564,1.343339371,1.130136339,15.8909248,11.51,13.97,,,,
2,10/23/2018,2018,October,10,1.891,-0.810485489,,,,,,,,
16,10/23/2018,2018,October,10,2.45,-0.697678584,-0.754082037,15.13684277,2.17,6.96,,,,
2,11/14/2018,2018,November,11,0.80,-1.031054267,,,,,,,,
16,11/14/2018,2018,November,11,1.04,-0.981612958,-1.006333613,14.13050915,0.92,4.87,,,,
2,12/4/2018,2018,December,12,3.078,-0.570947392,,,,,,,,
16,12/4/2018,2018,December,12,2.302,-0.727545171,-0.649246281,13.48126287,2.69,1.93,7.28,,,
2,,2019,January,1,,,,,,,,,,
16,,2019,January,1,,,,,,1.81,,,,
2,,2019,February,2,,,,,,,,,,
16,,2019,February,2,,,,,,2.69,,,,
2,4/4/2019,2019,March,3,1.867,-0.815328719,,,,,,,,
16,4/4/2019,2019,March,3,0.658,-1.059306444,-0.937317582,12.54394529,1.26,1.26,,,,
2,4/30/2019,2019,April,4,3.732,-0.438969367,,,,,,,,
16,4/30/2019,2019,April,4,3.133,-0.559848323,-0.499408845,12.04453645,3.43,2.35,,,,
2,5/17/2019,2019,May,5,5.591,-0.063820823,,,,,,,,
16,5/17/2019,2019,May,5,4.952,-0.192771829,-0.128296326,11.91624012,5.27,3.32,,,,
2,6/25/2019,2019,June,6,5.787,-0.024267776,,,,,,,,
16,6/25/2019,2019,June,6,4.359,-0.312439977,-0.168353876,11.74788624,5.07,4.59,,,,
2,7/25/2019,2019,July,7,4.468,-0.290443639,,,,,,,,
16,7/25/2019,2019,July,7,3.464,-0.493052105,-0.391747872,11.35613837,3.97,4.77,,,,
2,,2019,August,8,,,,,,,,,,
16,,2019,August,8,,,,,,4.52,,,,
2,9/25/2019,2019,September,9,4.115,-0.361679484,,,,,,,,
16,9/25/2019,2019,September,9,3.610,-0.463589121,-0.412634303,10.94350407,3.86,3.91,,,,
2,10/29/2019,2019,October,10,1.844,-0.819970148,,,,,,,,
16,10/29/2019,2019,October,10,1.291,-0.931566246,-0.875768197,10.06773587,1.57,2.72,,,,
2,,2019,November,11,,,,,,,,,,
16,,2019,November,11,,,,,,2.72,,,,
2,12/29/2019,2019,December,12,1.142,-0.961634634,,,,,,,,
16,12/29/2019,2019,December,12,1.020,-0.986254387,-0.973944511,9.093791362,1.08,1.32,3.00,,,
2,,2020,January,1,,,,,,,,,,
16,,2020,January,1,,,,,,1.08,,,,
2,,2020,February,2,,,,,,,,,,
16,,2020,February,2,,,,,,1.08,,,,
2,,2020,March,3,,,,,,,,,,
16,,2020,March,3,,,,,,,,,,
2,,2020,April,4,,,,,,,,,,
16,,2020,April,4,,,,,,,,,,
2,,2020,May,5,,,,,,,,,,
16,,2020,May,5,,,,,,,,,,
2,6/24/20,2020,June,6,3.196,-0.547134843,,,,,,,,
16,6/23/20,2020,June,6,6.853,0.190852369,-0.178141237,8.915650125,5.02,5.02,,,,
2,7/29/22,2020,July,7,9.280,0.68062403,,,,,,,,
16,7/29/22,2020,July,7,6.768,0.173699262,0.427161646,9.34281177,8.02,6.52,,,,
2,8/27/20,2020,August,8,6.151,0.049187883,,,,,,,,
16,8/27/20,2020,August,8,8.263,0.475392147,0.262290015,9.605101786,7.21,6.75,,,,
2,9/23/20,2020,September,9,3.258,-0.534623165,,,,,,,,
16,9/23/20,2020,September,9,2.280,-0.731984798,-0.633303982,8.971797804,2.77,6.00,,,,
2,10/21/20,2020,October,10,1.345,-0.920668978,,,,,,,,
16,10/21/20,2020,October,10,1.117,-0.966679665,-0.943674321,8.028123483,1.23,3.74,,,,
2,11/20/20,2020,November,11,1.896,-0.809476483,,,,,,,,
16,11/20/20,2020,November,11,1.268,-0.936207675,-0.872842079,7.155281404,1.58,1.86,,,,
2,,2020,December,12,,,,,,,,,,
16,,2020,December,12,,,,,,1.41,3.72,,,
2,,2021,January,1,1.896,-0.809476483,,,,,,,,
16,,2021,January,1,1.268,-0.936207675,-0.872842079,6.282439325,1.58,1.58,,,,
2,2/4/2021,2021,February,2,7.361,0.293367409,,,,,,,,
16,2/4/2021,2021,February,2,3.969,-0.391142468,-0.048887529,6.233551796,5.67,3.62,,,,
2,3/26/2021,2021,March,3,2.648,-0.657721934,,,,,,,,
16,3/26/2021,2021,March,3,1.138,-0.962441839,-0.810081886,5.423469909,1.89,3.05,,,,
2,4/28/2021,2021,April,4,1.434,-0.902708665,,,,,,,,
16,4/28/2021,2021,April,4,1.192,-0.951544571,-0.927126618,4.496343291,1.31,2.96,,,,
2,5/19/2021,2021,May,5,5.229,-0.136872879,,,,,,,,
16,5/19/2021,2021,May,5,2.319,-0.724114549,-0.430493714,4.065849577,3.77,2.33,,,,
2,6/30/2021,2021,June,6,4.784,-0.226674441,,,,,,,,
16,6/30/2021,2021,June,6,5.398,-0.102768466,-0.164721453,3.901128124,5.09,3.39,,,,
2,7/28/2021,2021,July,7,5.743,-0.033147031,,,,,,,,
16,7/28/2021,2021,July,7,6.284,0.076027451,0.02144021,3.922568334,6.01,4.96,,,,
2,8/25/2021,2021,August,8,5.032,-0.176627728,,,,,,,,
16,8/25/2021,2021,August,8,4.444,-0.295286869,-0.235957299,3.686611035,4.74,5.28,,,,
2,9/29/2021,2021,September,9,2.361,-0.715638896,,,,,,,,
16,9/29/2021,2021,September,9,2.036,-0.781224306,-0.748431601,2.938179434,2.20,4.32,,,,
2,10/27/21,2021,October,10,0.966,-0.997151656,,,,,,,,
16,10/27/21,2021,October,10,1.019,-0.986456189,-0.991803922,1.946375512,0.99,2.64,,,,
2,11/16/21,2021,November,11,1.018,-0.98665799,,,,,,,,
16,11/16/21,2021,November,11,0.985,-0.993317432,-0.989987711,0.956387801,1.00,1.40,,,,
2,12/15/21,2021,December,12,1.192,-0.951544571,,,,,,,,
16,12/15/21,2021,December,12,1.144,-0.961231031,-0.956387801,1.12799E-13,1.17,1.05,3.05,,,
